"Date","Page Name [v55] (evar55)","CTA Button Text [v59] (evar59)","General Click [v56] (evar56)","Unique Visitor ID [v78] (evar78)","Connect Page Interaction [e165] (event165)","Connect Master CTA Click [e167] (event167)","Filter Interaction [e152] (event152)"
"October 10, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Disputes Overview","8805369479172",0,0,0
"October 10, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Panoramica contestazioni","8804103913476",0,0,0
"October 10, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Report Storico","8804103913476",1,0,0
"October 10, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Récapitulatif des litiges","8811789123588",0,0,0
"October 10, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Statement of Account","8805369479172",1,0,0
"October 10, 2023","DISPUTES","Search Term","manageActiveCustomers:1338638","8811789123588",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","","","8807209795588",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8807071088644",0,3,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Email","Email:Email Initiated","8805369479172",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Email","Email:Email Initiated","8807071088644",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Error","ITCHISTORYREPORT:Error: Not Found","8807071088644",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Error","LOGIN:Error: Bad Request","8811790270468",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Cancel","8807071088644",1,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Cancel Invoice","8805369479172",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Cancel Invoice","8807071088644",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Initiated Invoice","8807071088644",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Estratto conto","8800070959108",0,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Estratto conto","8804103913476",0,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Historie (Bericht)","8807209795588",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Home","8805369479172",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Kontoauszug","8807209795588",0,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Orders","8805369479172",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Panoramica contestazioni","8804103913476",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Relevé de compte","8807071088644",0,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Relevé de compte","8811789156356",0,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Report Storico","8800070959108",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Statement of Account","8805369479172",0,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8805369479172",4,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8807209795588",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8811790270468",2,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1027740703","8805369479172",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1046464577","8811789156356",0,2,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1047532919","8807071088644",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1197457955","8807209795588",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1197691312","8807209795588",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1199546603","8805369479172",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1199756386","8811790270468",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1209774166","8805369479172",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1209775404","8805369479172",0,2,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Invoice","Invoice:More Info 1800083626","8807071088644",1,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Language Selected","Language Selected:English (Great Britain)","8805369479172",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Language Selected","Language Selected:Español (España)","8805369479172",0,1,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Search","Orders:Include All Account: Switched On","8807071088644",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Search Term","manageActiveCustomers:mara","8805369479172",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Filter Applied:Dispute status | Closed","8807071088644",0,0,1
"October 10, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Filter Applied:Dispute status | Resolved","8807071088644",0,0,3
"October 10, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Filter Applied:Invoices Only: Turned On","8807209795588",0,0,1
"October 10, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Search:1415717194","8811790270468",0,0,1
"October 10, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Search:1419605359","8811790270468",0,0,1
"October 10, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Search:6211647075","8811790270468",0,0,1
"October 10, 2023","ITCACCOUNTSTATEMENT","View Dashboard","View Dashboard:Dashboard Viewed","8805369479172",1,0,0
"October 10, 2023","ITCACCOUNTSTATEMENT","View Invoice","View Invoice:1049276158","8811789156356",1,0,0
"October 10, 2023","ITCHISTORYREPORT","","","8804103913476",1,0,0
"October 10, 2023","ITCHISTORYREPORT","","","8807209795588",2,0,0
"October 10, 2023","ITCHISTORYREPORT","CTA","CTA:Filter CTA","8811789123588",0,1,0
"October 10, 2023","ITCHISTORYREPORT","Dispute Details","Dispute Details:1196564838 | SIG30AVM","8808679407620",0,1,0
"October 10, 2023","ITCHISTORYREPORT","Dispute Summary","Dispute Summary:File deleted","8808679407620",0,1,0
"October 10, 2023","ITCHISTORYREPORT","Dispute Summary","Dispute Summary:File uploaded: Initiated","8808679407620",0,4,0
"October 10, 2023","ITCHISTORYREPORT","Download PO Doc","Order Details:6218612377","8806779715588",1,0,0
"October 10, 2023","ITCHISTORYREPORT","Email","Email:Email Initiated","8807071088644",1,2,0
"October 10, 2023","ITCHISTORYREPORT","Error","ITCHISTORYREPORT:Error: Not Found","8807071088644",0,1,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Dashboard Viewed","8811789156356",1,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: File deleted","8808679407620",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Grand-Livre","8811789123588",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Grand-Livre","8811789156356",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Historie (Bericht)","8807209795588",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: History Report","8805369479172",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: History Report","8808679407620",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Report Storico","8800070959108",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Report Storico","8804103913476",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Report Storico","8806779715588",0,0,0
"October 10, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Récapitulatif des litiges","8811789123588",1,0,0
"October 10, 2023","ITCHISTORYREPORT","History Report","Search:1048008537","8811789123588",0,0,1
"October 10, 2023","ITCHISTORYREPORT","Home","Home:Widget: Account Financial","8805369479172",1,0,0
"October 10, 2023","ITCHISTORYREPORT","Home","Home:Widget: Account Financial","8807209795588",1,0,0
"October 10, 2023","ITCHISTORYREPORT","Invoice","Invoice:More Info 1199546603","8805369479172",0,1,0
"October 10, 2023","ITCHISTORYREPORT","Login","Login Success: Login_External : 2023-10-10T18:32:58.435Z","8808679407620",1,0,0
"October 10, 2023","ITCHISTORYREPORT","Raise a Dispute","Raise a Dispute:1196564838","8808679407620",0,1,0
"October 10, 2023","ITCHISTORYREPORT","Shipments","Shipments:More Details: 1ZFA6657D989735596","8800070959108",1,0,0
"October 10, 2023","ITCHISTORYREPORT","Survey Popup","Survey Popup:Survey Cancel","8808679407620",0,1,0
