"Date","Page Name [v55] (evar55)","CTA Button Text [v59] (evar59)","General Click [v56] (evar56)","Unique Visitor ID [v78] (evar78)","Connect Page Interaction [e165] (event165)","Connect Master CTA Click [e167] (event167)","Filter Interaction [e152] (event152)"
"October 4, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Panoramica contestazioni","8803564224516",0,0,0
"October 4, 2023","DISPUTES","Invoice","Invoice:More Info 1600469338","8803564224516",0,1,0
"October 4, 2023","DISPUTES","Invoice Deselected","Invoice Deselected:1024331808","8803564224516",1,0,0
"October 4, 2023","DISPUTES","More Details","More Details:1209658336","8803564224516",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","","","8805859426308",1,0,0
"October 4, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8803564224516",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8811790270468",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Date Filter","Date Filter:Applied","8811168825348",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Download","Statement of Account:Cancel","8811790303236",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Download","Statement of Account:Download Initiated","8803564224516",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Download","Statement of Account:Downloaded: excel","8811790303236",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Error","ITCACCOUNTSTATEMENT:Error: Forbidden","8803564224516",1,2,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Error","ITCACCOUNTSTATEMENT:Error: Internal Server Error","8804647305220",0,5,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Error","ITCACCOUNTSTATEMENT:Error: Internal Server Error","8811168825348",0,4,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Cancel","8807209795588",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Cancel Invoice","8803564224516",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Cancel Payment","8803564224516",0,1,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Initiated","8807209795588",1,0,0
"October 4, 2023","ITCACCOUNTSTATEMENT","Finance Documents Download","Finance Documents Download:Initiated Payment|Invoice","8803564224516",0,1,0
